source_id,datetime,property_name,temperature
MICDEV001,2019-04-13T17:51:16.000+0000,heating_temperature,33.3
MICDEV001,2019-04-13T17:51:16.000+0000,cooling_temperature,15
MICDEV001,2019-04-13T18:51:18.000+0000,heating_temperature,34
MICDEV001,2019-04-13T19:51:20.000+0000,heating_temperature,33.8
MICDEV001,2019-04-13T20:51:21.000+0000,heating_temperature,34.2
MICDEV001,2019-04-13T21:51:23.000+0000,heating_temperature,34.5
MICDEV001,2019-04-13T22:51:25.000+0000,heating_temperature,34.7
MICDEV001,2019-04-13T23:51:26.000+0000,heating_temperature,34.8
MICDEV001,2019-04-14T00:51:28.000+0000,heating_temperature,34.9
MICDEV001,2019-04-14T01:51:30.000+0000,heating_temperature,35
MICDEV001,2019-04-14T06:51:38.000+0000,heating_temperature,35.1
MICDEV001,2019-04-14T08:51:41.000+0000,heating_temperature,34.4
MICDEV001,2019-04-14T09:51:43.000+0000,heating_temperature,34.6
MICDEV001,2019-04-14T10:25:16.000+0000,heating_temperature,34.2
MICDEV001,2019-04-14T10:25:16.000+0000,cooling_temperature,20.9
MICDEV001,2019-04-14T10:43:38.000+0000,heating_temperature,34.5
MICDEV001,2019-04-14T10:43:38.000+0000,cooling_temperature,20.4
MICDEV001,2019-04-14T11:39:32.000+0000,heating_temperature,33.9
MICDEV001,2019-04-14T11:39:32.000+0000,cooling_temperature,32.3
MICDEV001,2019-04-14T11:52:06.000+0000,cooling_temperature,32.4
MICDEV001,2019-04-14T11:58:19.000+0000,cooling_temperature,31.7
MICDEV001,2019-04-14T13:24:43.000+0000,heating_temperature,34.8
MICDEV001,2019-04-14T13:24:43.000+0000,cooling_temperature,15
MICDEV001,2019-04-14T14:38:23.000+0000,heating_temperature,34.5
MICDEV001,2019-04-14T14:38:23.000+0000,cooling_temperature,17
MICDEV001,2019-04-14T15:00:38.000+0000,heating_temperature,32.4
MICDEV001,2019-04-14T15:00:38.000+0000,cooling_temperature,31.6
MICDEV001,2019-04-14T16:00:40.000+0000,heating_temperature,33.7
MICDEV001,2019-04-14T16:00:40.000+0000,cooling_temperature,15
MICDEV001,2019-04-14T17:00:42.000+0000,heating_temperature,34.9
MICDEV001,2019-04-14T18:00:43.000+0000,heating_temperature,35.7
MICDEV001,2019-04-14T19:00:45.000+0000,heating_temperature,36.1
MICDEV001,2019-04-14T19:00:45.000+0000,cooling_temperature,15.1
MICDEV001,2019-04-14T20:00:47.000+0000,heating_temperature,36.4
MICDEV001,2019-04-14T20:00:47.000+0000,cooling_temperature,15
MICDEV001,2019-04-14T21:00:48.000+0000,heating_temperature,36.5
MICDEV001,2019-04-14T22:00:50.000+0000,heating_temperature,36.4
MICDEV001,2019-04-14T23:00:52.000+0000,heating_temperature,36.3
MICDEV001,2019-04-15T00:00:53.000+0000,heating_temperature,36.2
MICDEV001,2019-04-15T01:00:55.000+0000,heating_temperature,36.1
MICDEV001,2019-04-15T03:00:58.000+0000,heating_temperature,36
MICDEV001,2019-04-15T05:01:02.000+0000,heating_temperature,35.9
MICDEV001,2019-04-15T06:01:03.000+0000,heating_temperature,36
MICDEV001,2019-04-15T07:01:05.000+0000,heating_temperature,35.7
MICDEV001,2019-04-15T08:01:07.000+0000,heating_temperature,35
MICDEV001,2019-04-15T09:01:08.000+0000,heating_temperature,34.7
MICDEV001,2019-04-15T09:57:11.000+0000,heating_temperature,34.5
MICDEV001,2019-04-15T09:57:11.000+0000,cooling_temperature,19.7
MICDEV001,2019-04-15T10:57:13.000+0000,heating_temperature,34.8
MICDEV001,2019-04-15T10:57:13.000+0000,cooling_temperature,15
MICDEV001,2019-04-15T13:57:18.000+0000,heating_temperature,35.1
MICDEV001,2019-04-15T14:57:19.000+0000,heating_temperature,35.3
MICDEV001,2019-04-15T15:57:21.000+0000,heating_temperature,35.1
MICDEV001,2019-04-15T16:57:23.000+0000,heating_temperature,35
MICDEV001,2019-04-15T17:57:24.000+0000,cooling_temperature,14.9
MICDEV001,2019-04-15T18:57:26.000+0000,heating_temperature,34.8
MICDEV001,2019-04-15T18:57:26.000+0000,cooling_temperature,15
MICDEV001,2019-04-15T19:57:28.000+0000,heating_temperature,34.6
MICDEV001,2019-04-15T20:57:29.000+0000,heating_temperature,34.7
MICDEV001,2019-04-15T21:57:31.000+0000,heating_temperature,34.8
MICDEV001,2019-04-15T22:57:33.000+0000,heating_temperature,34.5
MICDEV001,2019-04-15T23:57:34.000+0000,heating_temperature,35
MICDEV001,2019-04-16T00:57:36.000+0000,heating_temperature,35.3
MICDEV001,2019-04-16T01:57:38.000+0000,heating_temperature,35.5
MICDEV001,2019-04-16T04:57:43.000+0000,heating_temperature,35.4
MICDEV001,2019-04-16T05:57:44.000+0000,heating_temperature,35.3
MICDEV001,2019-04-16T07:57:48.000+0000,heating_temperature,34.7
MICDEV001,2019-04-16T08:58:39.000+0000,heating_temperature,32.9
MICDEV001,2019-04-16T08:58:39.000+0000,cooling_temperature,31.8
MICDEV001,2019-04-16T09:58:40.000+0000,heating_temperature,34.1
MICDEV001,2019-04-16T09:58:40.000+0000,cooling_temperature,15
MICDEV001,2019-04-16T10:58:42.000+0000,heating_temperature,34.7
MICDEV001,2019-04-16T13:58:47.000+0000,heating_temperature,35
MICDEV001,2019-04-16T14:58:49.000+0000,heating_temperature,35.2
MICDEV001,2019-04-16T15:58:50.000+0000,heating_temperature,34.8
MICDEV001,2019-04-16T16:58:52.000+0000,heating_temperature,34.7
MICDEV001,2019-04-17T13:55:03.000+0000,heating_temperature,23.1
MICDEV001,2019-04-17T13:55:03.000+0000,cooling_temperature,21.6
MICDEV001,2019-04-17T14:01:13.000+0000,heating_temperature,23.7
MICDEV001,2019-04-17T14:01:13.000+0000,cooling_temperature,21.1
MICDEV001,2019-04-17T14:49:08.000+0000,heating_temperature,27
MICDEV001,2019-04-17T14:49:08.000+0000,cooling_temperature,26
MICDEV001,2019-04-17T15:49:10.000+0000,heating_temperature,30.7
MICDEV001,2019-04-17T15:49:10.000+0000,cooling_temperature,15
MICDEV001,2019-04-17T16:49:11.000+0000,heating_temperature,32.7
MICDEV001,2019-04-23T09:31:58.000+0000,heating_temperature,24.3
MICDEV001,2019-04-23T09:31:58.000+0000,cooling_temperature,23.1
MICDEV001,2019-04-23T10:32:00.000+0000,heating_temperature,29.5
MICDEV001,2019-04-23T10:32:00.000+0000,cooling_temperature,15
MICDEV001,2019-04-23T11:32:02.000+0000,heating_temperature,32.1
MICDEV001,2019-04-23T12:32:03.000+0000,heating_temperature,33.3
MICDEV001,2019-04-23T13:32:05.000+0000,heating_temperature,34.3
MICDEV001,2019-04-23T14:30:18.000+0000,heating_temperature,33.6
MICDEV001,2019-04-23T14:30:18.000+0000,cooling_temperature,32
MICDEV001,2019-04-23T15:30:19.000+0000,heating_temperature,34.7
MICDEV001,2019-04-23T15:30:19.000+0000,cooling_temperature,15
MICDEV001,2019-04-23T16:30:21.000+0000,heating_temperature,34.9
MICDEV001,2019-04-23T16:30:21.000+0000,cooling_temperature,15.1
MICDEV001,2019-04-23T17:30:23.000+0000,heating_temperature,35.1
MICDEV001,2019-04-23T17:30:23.000+0000,cooling_temperature,15
MICDEV001,2019-04-26T13:20:57.000+0000,heating_temperature,26.8
MICDEV001,2019-04-26T13:20:57.000+0000,cooling_temperature,25.8
MICDEV001,2019-04-26T14:20:59.000+0000,heating_temperature,30.5
MICDEV001,2019-04-26T14:20:59.000+0000,cooling_temperature,15
MICDEV001,2019-04-26T15:21:00.000+0000,heating_temperature,32.2
MICDEV001,2019-04-26T15:21:00.000+0000,cooling_temperature,15.1
MICDEV001,2019-04-26T16:21:02.000+0000,heating_temperature,33.3
MICDEV001,2019-04-26T16:21:02.000+0000,cooling_temperature,15
MICDEV001,2019-04-26T17:31:50.000+0000,heating_temperature,31.1
MICDEV001,2019-04-26T17:31:50.000+0000,cooling_temperature,30.1
MICDEV001,2019-04-29T09:20:40.000+0000,heating_temperature,23.3
MICDEV001,2019-04-29T09:20:40.000+0000,cooling_temperature,22.2
MICDEV001,2019-04-29T10:20:42.000+0000,heating_temperature,28.6
MICDEV001,2019-04-29T10:20:42.000+0000,cooling_temperature,15
MICDEV001,2019-04-29T11:20:43.000+0000,heating_temperature,31.6
MICDEV001,2019-04-29T12:20:45.000+0000,heating_temperature,33.3
MICDEV001,2019-04-29T13:20:47.000+0000,heating_temperature,34.1
MICDEV001,2019-04-29T14:20:48.000+0000,heating_temperature,34.2
MICDEV001,2019-04-29T14:39:03.000+0000,heating_temperature,33.4
MICDEV001,2019-04-29T14:39:03.000+0000,cooling_temperature,32.3
MICDEV001,2019-04-29T15:17:34.000+0000,heating_temperature,34.2
MICDEV001,2019-04-29T15:17:34.000+0000,cooling_temperature,15
MICDEV001,2019-04-29T16:17:35.000+0000,heating_temperature,34.8
MICDEV001,2019-04-29T17:08:16.000+0000,heating_temperature,34.4
MICDEV001,2019-04-29T17:08:16.000+0000,cooling_temperature,23.8
MICDEV001,2019-04-29T18:08:17.000+0000,heating_temperature,34.7
MICDEV001,2019-04-29T18:08:17.000+0000,cooling_temperature,15
MICDEV001,2019-04-30T08:37:41.000+0000,heating_temperature,23.6
MICDEV001,2019-04-30T08:37:41.000+0000,cooling_temperature,22.4
MICDEV001,2019-04-30T08:52:16.000+0000,heating_temperature,25
MICDEV001,2019-04-30T08:52:16.000+0000,cooling_temperature,24
MICDEV001,2019-04-30T09:52:18.000+0000,heating_temperature,29.7
MICDEV001,2019-04-30T09:52:18.000+0000,cooling_temperature,15
MICDEV001,2019-04-30T10:52:19.000+0000,heating_temperature,32
MICDEV001,2019-04-30T11:52:21.000+0000,heating_temperature,33.5
MICDEV001,2019-04-30T12:52:23.000+0000,heating_temperature,34.1
MICDEV001,2019-04-30T13:52:24.000+0000,heating_temperature,34.4
MICDEV001,2019-04-30T14:52:26.000+0000,heating_temperature,34.3
MICDEV001,2019-04-30T15:52:28.000+0000,heating_temperature,34.7
MICDEV001,2019-04-30T16:52:29.000+0000,heating_temperature,35.1
MICDEV001,2019-04-30T18:52:32.000+0000,heating_temperature,34.8
MICDEV001,2019-04-30T19:52:33.000+0000,heating_temperature,34.5
MICDEV001,2019-05-02T09:33:47.000+0000,heating_temperature,24.8
MICDEV001,2019-05-02T09:33:47.000+0000,cooling_temperature,23.6
MICDEV001,2019-05-02T10:33:49.000+0000,heating_temperature,29.4
MICDEV001,2019-05-02T10:33:49.000+0000,cooling_temperature,15
MICDEV001,2019-05-02T11:33:50.000+0000,heating_temperature,32.1
MICDEV001,2019-05-02T12:33:52.000+0000,heating_temperature,33.5
MICDEV001,2019-05-02T13:33:54.000+0000,heating_temperature,33.9
MICDEV001,2019-05-02T14:33:55.000+0000,heating_temperature,34.4
MICDEV001,2019-05-02T15:33:57.000+0000,heating_temperature,34.7
MICDEV001,2019-05-02T16:33:58.000+0000,heating_temperature,34.3
MICDEV001,2019-05-02T17:34:00.000+0000,heating_temperature,34.5
MICDEV001,2019-05-02T18:34:02.000+0000,heating_temperature,34
MICDEV001,2019-05-02T19:34:03.000+0000,heating_temperature,34.2
MICDEV001,2019-05-06T11:02:12.000+0000,heating_temperature,22.2
MICDEV001,2019-05-06T11:02:12.000+0000,cooling_temperature,20.9
MICDEV001,2019-05-06T12:02:13.000+0000,heating_temperature,28
MICDEV001,2019-05-06T12:02:13.000+0000,cooling_temperature,15
MICDEV001,2019-05-06T13:02:15.000+0000,heating_temperature,31.3
MICDEV001,2019-05-06T14:02:17.000+0000,heating_temperature,32.4
MICDEV001,2019-05-06T15:02:18.000+0000,heating_temperature,33.4
MICDEV001,2019-05-06T16:02:20.000+0000,heating_temperature,34.2
MICDEV001,2019-05-06T17:02:21.000+0000,heating_temperature,34.4
MICDEV001,2019-05-06T17:31:47.000+0000,heating_temperature,33.4
MICDEV001,2019-05-06T17:31:47.000+0000,cooling_temperature,31.9
MICDEV001,2019-05-06T18:31:49.000+0000,heating_temperature,34.6
MICDEV001,2019-05-06T18:31:49.000+0000,cooling_temperature,15
MICDEV001,2019-05-06T19:51:44.000+0000,heating_temperature,31.3
MICDEV001,2019-05-06T19:51:44.000+0000,cooling_temperature,30.3
MICDEV001,2019-05-06T20:51:46.000+0000,heating_temperature,33
MICDEV001,2019-05-06T20:51:46.000+0000,cooling_temperature,15
MICDEV001,2019-05-07T09:04:49.000+0000,heating_temperature,22.8
MICDEV001,2019-05-07T09:04:49.000+0000,cooling_temperature,21.5
MICDEV001,2019-05-07T09:37:06.000+0000,heating_temperature,26.2
MICDEV001,2019-05-07T09:37:06.000+0000,cooling_temperature,20.9
MICDEV001,2019-05-07T10:37:08.000+0000,heating_temperature,30.2
MICDEV001,2019-05-07T10:37:08.000+0000,cooling_temperature,15.1
